,cell_types
16-2547,fibroblast
26-376,fibroblast
11-845,plasmablast
26-2725,endothelial
6-362,B-cell
16-2014,fibroblast
1-534,plasmablast
6-4988,neutrophil
6-2619,T CD4 naive
11-3048,endothelial
16-850,fibroblast
21-1886,mast
26-3203,fibroblast
26-3187,fibroblast
1-138,fibroblast
6-4517,B-cell
11-1467,plasmablast
6-1622,B-cell
16-3280,fibroblast
6-2200,pDC
6-93,T CD8 naive
21-1951,fibroblast
6-1117,T CD4 naive
21-1198,T CD4 naive
1-892,T CD4 memory
6-1705,B-cell
21-1278,fibroblast
21-2275,plasmablast
26-2065,macrophage
1-2212,endothelial
6-3841,fibroblast
6-3516,fibroblast
11-1050,endothelial
11-237,endothelial
21-1031,T CD4 naive
21-984,mast
26-3427,fibroblast
1-562,epithelial
6-932,B-cell
11-3927,fibroblast
26-2591,pDC
26-1545,fibroblast
1-178,pDC
6-1067,T CD4 naive
16-811,plasmablast
16-538,endothelial
26-2624,plasmablast
26-1338,fibroblast
26-1293,neutrophil
21-2862,fibroblast
26-2678,endothelial
11-2718,mast
11-1707,fibroblast
16-2604,endothelial
16-3179,plasmablast
21-1850,fibroblast
26-1246,neutrophil
1-1690,endothelial
1-488,plasmablast
11-2769,mast
16-3469,fibroblast
26-563,tumor
6-4027,fibroblast
6-3993,fibroblast
6-2854,NK
6-1923,B-cell
6-500,B-cell
11-2233,mDC
11-1086,endothelial
26-170,plasmablast
6-3899,B-cell
6-611,B-cell
21-623,fibroblast
26-1216,fibroblast
26-523,tumor
6-4288,B-cell
11-306,endothelial
26-2326,plasmablast
26-1620,fibroblast
1-55,B-cell
16-3586,fibroblast
21-149,plasmablast
1-1593,B-cell
1-2070,endothelial
1-91,T CD4 naive
16-2403,plasmablast
21-2426,fibroblast
6-3572,NK
11-3778,fibroblast
11-3294,plasmablast
16-2347,plasmablast
16-3135,epithelial
21-1682,fibroblast
6-3734,T CD4 naive
11-1318,macrophage
16-394,epithelial
21-68,plasmablast
1-1832,neutrophil
6-1562,B-cell
6-1299,B-cell
11-3273,fibroblast
21-1792,endothelial
26-2483,neutrophil
26-2191,epithelial
26-1030,tumor
6-2372,plasmablast
6-4660,T CD4 naive
6-570,B-cell
16-1114,fibroblast
26-1986,fibroblast
26-300,T CD4 naive
1-286,NK
21-324,plasmablast
1-155,endothelial
6-2946,macrophage
11-1495,mast
11-3055,endothelial
21-1757,pDC
6-909,B-cell
21-877,plasmablast
21-1476,T CD4 naive
1-205,fibroblast
11-3257,fibroblast
11-561,fibroblast
1-972,plasmablast
21-616,fibroblast
21-554,B-cell
1-1670,endothelial
1-1189,mast
6-1832,B-cell
6-4146,B-cell
11-1581,endothelial
11-984,macrophage
16-2175,endothelial
16-769,plasmablast
26-1133,tumor
16-634,epithelial
1-1283,NK
1-2127,epithelial
6-2557,T CD4 memory
26-2415,neutrophil
26-2094,monocyte
6-5118,fibroblast
11-1223,fibroblast
11-939,T CD4 naive
16-2308,fibroblast
26-1351,mDC
1-524,T CD4 naive
6-4894,NK
6-2677,T CD4 naive
6-2532,pDC
6-4194,B-cell
26-402,neutrophil
26-249,fibroblast
11-828,fibroblast
16-1810,fibroblast
16-3140,epithelial
21-1271,plasmablast
21-2668,endothelial
26-1083,tumor
1-1546,T CD4 naive
6-1011,T CD4 naive
11-3230,endothelial
16-3395,fibroblast
21-507,fibroblast
21-350,plasmablast
21-1556,mast
21-1433,fibroblast
21-122,plasmablast
6-3795,plasmablast
6-3683,endothelial
6-3534,fibroblast
16-2574,endothelial
21-2698,plasmablast
21-1064,T CD4 naive
6-4161,B-cell
16-3227,fibroblast
6-3445,T CD4 naive
11-3197,fibroblast
16-3118,epithelial
16-3076,fibroblast
21-2759,plasmablast
26-485,tumor
6-1195,T CD8 naive
6-4510,B-cell
21-566,fibroblast
26-3172,mDC
1-1307,endothelial
6-1755,B-cell
6-4490,B-cell
16-2838,endothelial
26-1785,tumor
1-2214,endothelial
6-4284,epithelial
6-177,T CD4 naive
16-494,endothelial
16-468,tumor
6-395,B-cell
21-1673,fibroblast
1-237,B-cell
6-2626,fibroblast
16-3603,fibroblast
21-215,mast
26-2604,plasmablast
26-1714,epithelial
6-1280,B-cell
11-1801,T CD4 naive
11-1360,T CD4 naive
26-1315,neutrophil
16-3473,fibroblast
26-802,tumor
26-1193,neutrophil
6-1675,B-cell
6-4530,B-cell
6-1242,B-cell
11-3427,fibroblast
16-3761,plasmablast
16-3008,epithelial
21-1983,mast
21-2898,fibroblast
6-837,B-cell
21-11,plasmablast
1-2196,plasmablast
11-3558,endothelial
11-1397,T CD4 naive
11-875,B-cell
21-1578,mast
26-1283,fibroblast
26-320,fibroblast
16-1733,fibroblast
16-1707,fibroblast
26-1554,neutrophil
26-1007,tumor
1-541,pDC
1-387,B-cell
6-2386,B-cell
11-114,fibroblast
26-1598,neutrophil
16-2768,endothelial
16-588,mast
1-431,pDC
6-1153,B-cell
6-4151,B-cell
21-2660,endothelial
26-461,fibroblast
6-4555,B-cell
16-3161,T CD4 naive
26-2372,fibroblast
16-255,epithelial
26-414,fibroblast
1-466,pDC
6-1882,T CD4 naive
6-514,B-cell
21-1834,fibroblast
1-439,macrophage
1-156,T CD8 memory
6-2750,endothelial
6-1585,B-cell
11-3473,fibroblast
26-2681,endothelial
26-2141,neutrophil
1-1956,epithelial
11-2518,endothelial
21-1358,plasmablast
21-625,fibroblast
1-2332,endothelial
11-2326,T CD4 naive
21-3002,epithelial
6-3090,fibroblast
6-4126,fibroblast
11-1040,T CD8 naive
16-2618,fibroblast
16-722,fibroblast
16-2996,mDC
21-62,plasmablast
26-2727,mast
26-348,fibroblast
6-639,B-cell
16-2703,fibroblast
16-2154,fibroblast
21-1563,mast
21-941,endothelial
26-1507,monocyte
1-1559,mDC
1-1324,endothelial
1-1256,fibroblast
6-3587,T CD4 naive
6-1042,B-cell
6-549,B-cell
16-2867,endothelial
21-1434,pDC
26-2221,fibroblast
26-1648,T CD4 naive
26-25,T CD4 naive
26-1135,tumor
26-390,neutrophil
1-22,T CD4 naive
6-4939,plasmablast
6-4523,B-cell
11-957,B-cell
26-1468,fibroblast
1-1598,plasmablast
16-2445,pDC
26-2891,tumor
1-291,macrophage
6-3769,T CD8 naive
6-2569,mast
11-911,fibroblast
16-649,mast
21-1774,T CD4 naive
1-1631,pDC
1-924,endothelial
6-3646,mDC
6-1643,B-cell
11-2458,T CD4 memory
16-410,epithelial
1-1928,epithelial
1-1342,endothelial
1-506,T CD4 naive
16-2393,plasmablast
16-803,fibroblast
26-2580,plasmablast
6-4041,endothelial
6-1999,B-cell
21-2622,fibroblast
1-563,NK
6-4145,endothelial
21-80,plasmablast
1-1986,pDC
21-1276,B-cell
26-1886,tumor
1-760,endothelial
6-2620,epithelial
11-1789,plasmablast
16-2356,plasmablast
16-2026,mast
21-1659,pDC
1-1159,macrophage
11-1332,fibroblast
1-1044,fibroblast
11-795,T CD4 naive
16-3311,fibroblast
16-220,plasmablast
26-2980,tumor
26-555,tumor
1-1461,macrophage
6-1845,B-cell
6-729,B-cell
11-704,T CD4 naive
11-208,endothelial
21-1617,mDC
21-1251,B-cell
21-639,endothelial
26-3498,mDC
1-1108,endothelial
6-3349,tumor
6-2715,fibroblast
11-1678,mDC
26-2267,fibroblast
26-3095,fibroblast
26-2869,fibroblast
11-300,fibroblast
1-1576,mDC
1-1024,T CD4 naive
6-923,B-cell
1-320,macrophage
6-793,B-cell
26-3510,macrophage
26-1420,fibroblast
26-130,plasmablast
1-2194,plasmablast
6-5208,endothelial
6-2792,T CD4 naive
6-4402,B-cell
21-656,endothelial
21-2397,mDC
6-469,B-cell
6-202,B-cell
11-1287,fibroblast
16-851,plasmablast
21-1903,plasmablast
26-2105,macrophage
6-1951,T CD4 naive
6-973,B-cell
21-619,fibroblast
6-1802,B-cell
6-401,B-cell
11-3216,fibroblast
6-1738,B-cell
6-4518,B-cell
6-101,pDC
16-2561,monocyte
21-1936,mast
26-2698,macrophage
26-512,tumor
1-2199,Treg
6-4461,B-cell
21-2697,fibroblast
26-2641,mDC
6-4480,B-cell
1-1234,macrophage
6-2356,B-cell
11-824,B-cell
21-1337,plasmablast
21-509,plasmablast
6-4441,B-cell
11-173,endothelial
16-2326,fibroblast
16-1280,fibroblast
21-1033,plasmablast
26-1329,fibroblast
1-707,plasmablast
11-3522,fibroblast
16-2833,fibroblast
26-2452,T CD4 naive
1-1136,epithelial
6-3543,pDC
6-2507,fibroblast
6-1686,T CD4 naive
16-775,fibroblast
6-2650,epithelial
26-2307,neutrophil
1-636,plasmablast
1-484,pDC
16-1824,fibroblast
16-1183,fibroblast
26-1635,endothelial
26-945,tumor
6-1499,B-cell
6-629,B-cell
11-3559,endothelial
16-3849,fibroblast
16-562,epithelial
16-507,endothelial
1-851,epithelial
6-2070,epithelial
6-312,B-cell
21-2953,macrophage
21-1071,plasmablast
21-530,plasmablast
26-2386,pDC
26-1831,neutrophil
26-270,neutrophil
1-684,NK
6-4485,B-cell
11-3668,mDC
11-104,fibroblast
16-258,epithelial
21-629,fibroblast
26-1523,fibroblast
1-39,plasmablast
6-818,B-cell
11-1564,macrophage
11-865,fibroblast
21-2235,plasmablast
1-990,T CD4 naive
6-3315,epithelial
21-2681,endothelial
26-1739,neutrophil
1-364,NK
16-2229,endothelial
26-1555,neutrophil
6-4418,B-cell
16-3792,fibroblast
26-2532,pDC
6-5189,endothelial
6-1376,T CD4 naive
11-1126,pDC
11-698,T CD4 naive
16-638,epithelial
21-1462,B-cell
1-1383,endothelial
6-3955,fibroblast
6-1919,B-cell
6-1598,B-cell
6-352,T CD4 naive
16-365,T CD8 naive
11-71,mast
21-227,plasmablast
21-204,plasmablast
26-3230,neutrophil
26-1488,macrophage
26-1663,neutrophil
26-26,fibroblast
6-701,B-cell
6-4328,B-cell
16-3511,fibroblast
1-765,endothelial
11-991,mast
16-2652,fibroblast
21-1836,plasmablast
21-1483,T CD4 naive
21-1404,pDC
26-2230,neutrophil
26-2201,fibroblast
26-1139,tumor
6-4223,B-cell
11-2708,plasmablast
11-3222,fibroblast
21-12,fibroblast
26-321,macrophage
6-2020,B-cell
11-3300,fibroblast
21-1684,pDC
1-402,macrophage
6-1636,B-cell
16-3678,endothelial
21-2880,fibroblast
1-290,fibroblast
6-3619,T CD4 naive
16-1751,fibroblast
11-520,fibroblast
16-3642,fibroblast
6-3059,epithelial
26-583,tumor
26-173,T CD4 naive
1-84,plasmablast
6-4816,epithelial
21-2624,fibroblast
26-1427,fibroblast
1-1860,macrophage
1-2275,endothelial
1-731,B-cell
6-2759,epithelial
11-3810,fibroblast
21-662,endothelial
26-2730,plasmablast
6-494,B-cell
16-2824,fibroblast
16-185,fibroblast
26-1780,neutrophil
6-3696,plasmablast
6-4240,B-cell
16-246,epithelial
1-1236,endothelial
6-1823,T CD4 naive
11-3693,fibroblast
6-753,B-cell
1-1884,macrophage
21-2745,pDC
1-1257,endothelial
1-2042,plasmablast
6-4369,B-cell
16-2158,endothelial
21-1643,plasmablast
26-394,fibroblast
6-4380,B-cell
11-1437,T CD4 naive
16-1124,mast
26-85,fibroblast
6-4464,B-cell
26-458,fibroblast
1-1944,epithelial
1-1618,neutrophil
1-1588,neutrophil
21-1086,plasmablast
26-292,monocyte
1-2101,fibroblast
6-1437,B-cell
21-1435,B-cell
26-2689,pDC
1-2092,T CD4 naive
16-1889,fibroblast
26-354,endothelial
16-1642,monocyte
16-3138,fibroblast
21-1888,fibroblast
21-1277,B-cell
21-161,plasmablast
6-4449,B-cell
6-203,fibroblast
11-251,fibroblast
11-213,fibroblast
21-1190,endothelial
21-65,plasmablast
26-1017,tumor
1-1492,NK
6-947,T CD4 naive
11-94,T CD4 naive
21-1320,B-cell
26-2320,endothelial
6-4022,endothelial
6-128,plasmablast
16-2327,T CD4 naive
16-2274,fibroblast
16-804,fibroblast
1-998,T CD8 naive
1-48,B-cell
6-3905,endothelial
6-1709,B-cell
6-4399,B-cell
11-2751,pDC
11-1151,B-cell
11-912,fibroblast
11-871,fibroblast
21-2590,fibroblast
21-273,macrophage
26-2566,plasmablast
6-1765,epithelial
6-256,macrophage
26-1140,tumor
26-525,tumor
6-378,T CD4 naive
16-2568,fibroblast
26-3293,neutrophil
26-340,fibroblast
16-662,mast
1-1370,epithelial
6-310,B-cell
16-3744,fibroblast
16-928,fibroblast
6-4338,B-cell
21-2002,epithelial
21-2431,endothelial
21-2351,pDC
26-2279,T CD8 naive
1-1557,NK
1-2272,endothelial
6-418,B-cell
16-3843,endothelial
16-3028,epithelial
26-2383,endothelial
6-1952,T CD4 naive
16-2504,fibroblast
16-3697,fibroblast
1-846,endothelial
6-4769,B-cell
6-4573,B-cell
6-1546,B-cell
26-432,fibroblast
1-711,plasmablast
16-346,endothelial
1-1957,neutrophil
6-2925,mDC
6-2794,pDC
6-4496,B-cell
6-715,B-cell
16-3582,fibroblast
16-595,epithelial
1-1971,endothelial
6-5167,fibroblast
6-571,B-cell
21-2631,plasmablast
6-2085,epithelial
6-4477,B-cell
6-661,B-cell
16-3542,fibroblast
16-508,endothelial
21-604,fibroblast
26-2542,plasmablast
21-985,endothelial
1-934,pDC
1-496,macrophage
6-4065,fibroblast
16-1351,fibroblast
16-282,fibroblast
1-2195,T CD4 memory
1-2017,plasmablast
6-835,B-cell
11-3706,fibroblast
21-633,endothelial
26-3204,fibroblast
1-2122,B-cell
1-421,mDC
6-2190,epithelial
6-4246,B-cell
11-1461,T CD4 naive
11-705,neutrophil
26-2478,fibroblast
26-1954,tumor
26-187,epithelial
1-2134,fibroblast
6-4739,epithelial
11-1015,fibroblast
11-3182,fibroblast
6-1429,B-cell
26-3143,neutrophil
26-2989,tumor
26-214,monocyte
1-2059,T CD4 naive
11-2651,mDC
1-1408,endothelial
1-1112,plasmablast
6-2841,fibroblast
11-2438,fibroblast
26-3262,neutrophil
1-114,plasmablast
6-4413,B-cell
11-769,plasmablast
26-3446,fibroblast
1-1758,epithelial
16-247,fibroblast
1-1343,epithelial
1-1288,pDC
16-3686,fibroblast
21-2177,epithelial
1-1146,endothelial
6-1377,B-cell
6-4366,B-cell
6-4110,fibroblast
11-2908,macrophage
11-2570,mast
21-2440,endothelial
26-2416,plasmablast
26-899,tumor
1-607,NK
1-693,pDC
11-3404,fibroblast
11-813,T CD4 memory
26-105,fibroblast
6-5221,endothelial
16-17,fibroblast
11-2709,plasmablast
26-1644,neutrophil
26-1165,tumor
1-1445,fibroblast
6-1803,B-cell
11-1547,fibroblast
16-740,fibroblast
26-3221,neutrophil
26-1090,tumor
1-245,B-cell
6-4460,T CD4 naive
6-750,T CD4 naive
21-2855,mast
26-1437,fibroblast
1-1720,endothelial
1-1180,endothelial
6-3306,fibroblast
6-2668,epithelial
11-1178,mDC
21-13,B-cell
16-2858,fibroblast
16-3512,fibroblast
16-621,mast
21-1911,pDC
21-336,fibroblast
26-495,tumor
1-1076,plasmablast
6-1637,B-cell
11-544,fibroblast
11-3010,mDC
1-559,B-cell
26-1226,fibroblast
1-893,fibroblast
21-1844,pDC
26-3575,plasmablast
1-1680,neutrophil
6-1520,B-cell
6-345,endothelial
21-1775,fibroblast
1-2118,endothelial
1-2080,fibroblast
1-289,NK
6-3480,T CD4 naive
16-2337,fibroblast
16-316,endothelial
21-1655,mast
6-951,T CD4 naive
11-1525,mast
11-1500,plasmablast
1-1319,macrophage
6-3735,fibroblast
6-3606,mast
6-4443,B-cell
16-477,fibroblast
21-959,fibroblast
1-737,T CD4 naive
16-2209,fibroblast
16-1418,fibroblast
21-2126,epithelial
26-3288,neutrophil
1-1250,fibroblast
6-1108,B-cell
11-3497,fibroblast
16-1278,fibroblast
21-1626,fibroblast
1-1816,macrophage
6-3672,macrophage
21-2956,tumor
21-1533,T CD4 naive
26-3343,neutrophil
16-206,fibroblast
16-165,mast
1-208,plasmablast
6-2165,epithelial
26-1365,neutrophil
6-2719,tumor
6-2031,epithelial
6-4429,B-cell
21-2428,endothelial
21-127,plasmablast
26-471,fibroblast
1-595,mDC
6-2776,plasmablast
6-594,B-cell
11-1209,T CD4 memory
6-1466,B-cell
6-4204,B-cell
21-2727,pDC
6-4251,B-cell
6-4192,B-cell
11-2873,plasmablast
26-2778,fibroblast
1-774,T CD4 naive
11-2971,fibroblast
11-2956,fibroblast
26-1698,neutrophil
6-1929,B-cell
6-1306,B-cell
11-2927,pDC
1-1025,endothelial
11-872,fibroblast
16-1309,fibroblast
21-1887,T CD8 naive
1-490,macrophage
1-103,fibroblast
6-1734,B-cell
16-3242,fibroblast
21-617,fibroblast
6-4641,B-cell
6-1612,B-cell
6-1047,B-cell
6-998,B-cell
26-3532,fibroblast
26-2589,fibroblast
1-831,macrophage
6-885,B-cell
16-1474,endothelial
16-519,endothelial
21-1824,plasmablast
26-1141,tumor
26-220,neutrophil
6-3548,mast
6-20,pDC
16-780,plasmablast
11-25,fibroblast
16-3125,mast
26-2902,tumor
1-1895,macrophage
1-345,pDC
6-1413,B-cell
16-3034,epithelial
26-2366,fibroblast
26-2089,tumor
6-3966,fibroblast
6-2893,fibroblast
16-1566,epithelial
1-1221,endothelial
16-67,fibroblast
1-1539,T CD8 naive
11-948,fibroblast
16-581,epithelial
16-119,mast
26-2507,plasmablast
26-2867,fibroblast
1-1196,endothelial
16-2846,fibroblast
21-1441,fibroblast
21-702,fibroblast
26-1624,neutrophil
1-1215,NK
1-1127,mast
1-878,B-cell
16-228,epithelial
6-4498,B-cell
11-1472,plasmablast
21-2251,plasmablast
26-3278,neutrophil
1-800,mDC
1-369,pDC
1-61,epithelial
6-4508,T CD4 naive
6-738,T CD8 naive
21-1046,mast
21-1021,endothelial
26-2708,plasmablast
1-694,plasmablast
1-659,plasmablast
6-2444,epithelial
6-2302,epithelial
6-4404,B-cell
6-794,T CD8 naive
6-4172,T CD4 naive
21-1229,endothelial
26-1284,fibroblast
21-277,fibroblast
26-364,epithelial
21-342,plasmablast
26-1053,tumor
1-226,endothelial
1-1391,neutrophil
16-3105,mast
21-752,T CD8 naive
26-2763,fibroblast
26-1037,tumor
26-2811,fibroblast
1-2061,plasmablast
1-299,pDC
6-3880,endothelial
6-3473,endothelial
21-657,endothelial
1-2007,fibroblast
6-4343,B-cell
6-123,pDC
11-3288,fibroblast
16-3427,fibroblast
26-1294,monocyte
21-209,plasmablast
26-851,tumor
1-433,plasmablast
6-1140,B-cell
6-94,plasmablast
11-1594,plasmablast
11-3252,fibroblast
21-1619,mDC
1-1095,fibroblast
6-684,B-cell
6-554,B-cell
26-2425,plasmablast
26-1227,fibroblast
6-2243,epithelial
11-1634,plasmablast
11-1417,T CD8 naive
11-257,fibroblast
21-894,mDC
1-1439,endothelial
16-3328,fibroblast
1-2228,mast
11-1453,plasmablast
26-1853,neutrophil
1-979,B-cell
21-140,plasmablast
1-1485,mast
1-620,endothelial
6-2836,mast
16-2653,fibroblast
26-1682,neutrophil
6-1657,B-cell
11-3775,fibroblast
16-1250,fibroblast
21-2414,fibroblast
6-1563,B-cell
6-4468,B-cell
11-3212,fibroblast
26-3336,neutrophil
6-3413,endothelial
11-1326,plasmablast
21-1405,fibroblast
26-599,tumor
26-299,fibroblast
26-92,fibroblast
6-3838,endothelial
6-3047,tumor
6-1797,B-cell
21-1256,pDC
26-1508,macrophage
26-1382,macrophage
26-906,tumor
26-568,tumor
1-724,mDC
6-624,B-cell
16-2935,neutrophil
26-3537,plasmablast
6-187,endothelial
16-3709,fibroblast
21-1962,fibroblast
1-2019,endothelial
6-1410,B-cell
16-2586,fibroblast
1-901,B-cell
6-4445,B-cell
11-2858,fibroblast
11-3846,fibroblast
11-1558,plasmablast
11-3583,plasmablast
16-3768,fibroblast
26-2126,tumor
6-2746,T CD4 naive
6-1462,B-cell
6-4197,fibroblast
11-1775,plasmablast
11-1655,plasmablast
11-3390,fibroblast
11-351,T CD4 naive
16-1068,mast
16-2944,neutrophil
16-655,T CD4 naive
21-1881,fibroblast
21-577,fibroblast
16-1659,fibroblast
16-1621,endothelial
21-1718,fibroblast
26-373,fibroblast
6-3741,fibroblast
16-2925,monocyte
21-1677,fibroblast
6-4349,B-cell
16-3557,fibroblast
6-52,mDC
21-1845,B-cell
1-1456,T CD4 memory
1-469,T CD4 naive
16-1567,endothelial
26-2387,fibroblast
1-649,B-cell
6-3240,fibroblast
6-1088,B-cell
6-1052,B-cell
21-1589,fibroblast
1-949,neutrophil
6-3908,endothelial
6-1896,B-cell
1-1682,epithelial
1-706,plasmablast
6-4019,fibroblast
6-1969,B-cell
6-1313,T CD4 naive
21-449,fibroblast
26-1414,fibroblast
6-2049,endothelial
21-1922,B-cell
21-1313,T CD4 naive
1-1534,endothelial
11-2098,fibroblast
16-3758,endothelial
21-626,fibroblast
26-1961,neutrophil
26-1735,neutrophil
21-1868,fibroblast
26-1560,neutrophil
1-2219,macrophage
1-401,endothelial
6-3597,mast
6-1942,B-cell
26-2901,tumor
6-777,B-cell
21-522,fibroblast
26-3132,monocyte
26-459,fibroblast
6-3972,fibroblast
6-1516,B-cell
11-616,fibroblast
26-189,neutrophil
6-5024,endothelial
6-4310,T CD4 naive
6-419,plasmablast
11-13,fibroblast
16-2805,fibroblast
26-3141,fibroblast
26-1266,fibroblast
16-2721,fibroblast
26-2327,fibroblast
26-490,tumor
1-793,pDC
6-3452,endothelial
6-1720,B-cell
6-4229,endothelial
21-2995,fibroblast
21-315,fibroblast
26-3373,neutrophil
1-492,B-cell
11-1501,plasmablast
21-1357,B-cell
21-2612,endothelial
21-2362,fibroblast
1-1854,macrophage
11-3805,fibroblast
11-2040,fibroblast
16-529,mast
26-1876,neutrophil
26-1241,neutrophil
6-730,B-cell
6-331,plasmablast
16-2269,endothelial
21-2439,fibroblast
1-601,mDC
1-144,endothelial
6-1354,B-cell
6-1277,B-cell
6-1196,B-cell
16-1554,endothelial
6-4905,B-cell
6-986,T CD4 naive
16-354,endothelial
1-252,neutrophil
1-856,plasmablast
6-5013,fibroblast
11-323,T CD8 naive
16-3039,mast
26-2373,pDC
6-2371,epithelial
21-1388,B-cell
1-1371,macrophage
11-3254,fibroblast
26-3240,neutrophil
1-1950,macrophage
1-1527,T CD4 naive
1-2216,pDC
1-192,endothelial
6-4819,epithelial
6-1125,B-cell
11-854,fibroblast
16-2885,mDC
21-1904,pDC
6-1565,B-cell
6-898,T CD8 naive
11-3911,fibroblast
16-2920,endothelial
21-1305,plasmablast
26-1927,neutrophil
6-4638,B-cell
16-1899,fibroblast
26-227,fibroblast
16-3666,fibroblast
16-3510,endothelial
16-629,fibroblast
21-2688,plasmablast
6-3383,endothelial
16-3438,fibroblast
21-21,plasmablast
6-4216,B-cell
26-2606,plasmablast
6-1652,B-cell
6-1172,B-cell
16-2214,fibroblast
21-49,plasmablast
26-383,neutrophil
1-1505,endothelial
6-2491,B-cell
16-3186,fibroblast
16-694,fibroblast
26-2167,tumor
11-1431,plasmablast
16-3370,fibroblast
26-537,tumor
26-408,neutrophil
6-1411,B-cell
16-201,epithelial
