,cell_types
6-1283,fibroblast
11-3416,tumor
11-1069,tumor
11-1043,tumor
16-3746,tumor
16-2152,fibroblast
11-3530,tumor
16-3675,fibroblast
16-818,fibroblast
21-464,plasmablast
26-2923,fibroblast
1-1381,pDC
6-5190,T CD4 naive
11-1005,tumor
11-3018,tumor
16-3731,tumor
16-585,plasmablast
26-3079,mast
1-1084,neutrophil
6-4167,tumor
26-1773,pDC
26-2936,fibroblast
6-4015,plasmablast
6-2686,B-cell
11-2933,fibroblast
16-3689,tumor
16-302,plasmablast
21-2687,neutrophil
21-2458,neutrophil
6-38,tumor
16-2965,plasmablast
26-961,fibroblast
26-694,fibroblast
6-5217,T CD4 naive
6-4588,pDC
11-3624,tumor
26-1671,plasmablast
6-679,tumor
6-5182,B-cell
6-2149,mDC
11-1726,tumor
21-1259,mDC
26-744,tumor
6-4424,endothelial
16-1377,tumor
16-1203,tumor
21-1771,fibroblast
6-3909,T CD4 naive
21-1603,pDC
26-336,neutrophil
11-1134,tumor
1-461,neutrophil
6-1905,epithelial
16-3874,fibroblast
16-2951,fibroblast
1-1806,T CD4 naive
16-1905,tumor
6-4750,fibroblast
6-4806,plasmablast
6-4222,tumor
21-1704,B-cell
21-1141,fibroblast
1-1713,neutrophil
6-3630,T CD4 naive
6-2513,T CD4 naive
11-3240,endothelial
16-3017,T CD8 naive
1-2397,T CD4 naive
6-3692,macrophage
11-3200,tumor
11-401,tumor
21-612,fibroblast
6-4694,endothelial
16-857,fibroblast
16-2991,plasmablast
21-1458,plasmablast
21-501,pDC
6-5234,T CD4 naive
6-3807,T CD4 naive
6-81,tumor
16-3496,tumor
21-2625,fibroblast
26-3104,plasmablast
11-2007,tumor
16-2305,endothelial
26-1573,plasmablast
26-3068,neutrophil
11-2999,epithelial
21-79,fibroblast
26-1289,plasmablast
16-3747,neutrophil
11-2059,tumor
11-1087,tumor
26-1219,fibroblast
6-3560,Treg
11-2979,epithelial
6-1672,pDC
16-980,tumor
21-2316,mDC
26-3003,fibroblast
6-3313,B-cell
6-4618,fibroblast
6-943,endothelial
16-1965,tumor
16-1809,tumor
21-944,pDC
1-1063,neutrophil
6-3367,macrophage
6-3245,plasmablast
6-4487,fibroblast
